date,deaths
01-01-90,5268
01-02-90,4426
01-03-90,4782
01-04-90,4817
01-05-90,5224
01-06-90,4703
01-07-90,4878
01-08-90,5218
01-09-90,4653
01-10-90,4986
01-11-90,4665
01-12-90,5284
01-01-91,4979
01-02-91,4502
01-03-91,4852
01-04-91,5259
01-05-91,5271
01-06-91,4872
01-07-91,5256
01-08-91,5049
01-09-91,4717
01-10-91,4708
01-11-91,4592
01-12-91,5296
01-01-92,5029
01-02-92,4490
01-03-92,5244
01-04-92,5334
01-05-92,5055
01-06-92,5019
01-07-92,5006
01-08-92,5056
01-09-92,4792
01-10-92,4799
01-11-92,4782
01-12-92,5530
01-01-93,5033
01-02-93,4502
01-03-93,4991
01-04-93,4959
01-05-93,5047
01-06-93,4881
01-07-93,4639
01-08-93,5094
01-09-93,4480
01-10-93,4542
01-11-93,4679
01-12-93,5390
01-01-94,4934
01-02-94,4489
01-03-94,5107
01-04-94,4706
01-05-94,5372
01-06-94,4670
01-07-94,4856
01-08-94,5114
01-09-94,4692
01-10-94,4826
01-11-94,4736
01-12-94,5098
01-01-95,5014
01-02-95,4372
01-03-95,4946
01-04-95,4530
01-05-95,4942
01-06-95,4583
01-07-95,4633
01-08-95,4848
01-09-95,4563
01-10-95,4902
01-11-95,4455
01-12-95,5131
01-01-96,4904
01-02-96,4374
01-03-96,4522
01-04-96,4779
01-05-96,4843
01-06-96,4414
01-07-96,4791
01-08-96,4472
01-09-96,4636
01-10-96,4568
01-11-96,4428
01-12-96,5106
01-01-97,4768
01-02-97,4148
01-03-97,4648
01-04-97,4440
01-05-97,4711
01-06-97,4630
01-07-97,4783
01-08-97,4805
01-09-97,4541
01-10-97,4812
01-11-97,4409
01-12-97,5337
01-01-98,4774
01-02-98,4373
01-03-98,4565
01-04-98,4691
01-05-98,4753
01-06-98,4775
01-07-98,4663
01-08-98,4572
01-09-98,4659
01-10-98,4499
01-11-98,4519
01-12-98,5179
01-01-99,4548
01-02-99,4194
01-03-99,4690
01-04-99,4453
01-05-99,4752
01-06-99,4342
01-07-99,4555
01-08-99,4669
01-09-99,4341
01-10-99,4569
01-11-99,4403
01-12-99,5043
01-01-00,4677
01-02-00,4286
01-03-00,4572
01-04-00,4226
01-05-00,4574
01-06-00,4024
01-07-00,4350
01-08-00,4297
01-09-00,4267
01-10-00,4077
01-11-00,4037
01-12-00,4742
01-01-01,4433
01-02-01,3890
01-03-01,4385
01-04-01,4360
01-05-01,4617
01-06-01,4080
01-07-01,4511
01-08-01,4292
01-09-01,3977
01-10-01,4439
01-11-01,4276
01-12-01,4712
01-01-02,4727
01-02-02,4095
01-03-02,4291
01-04-02,4626
01-05-02,4547
01-06-02,3982
01-07-02,4459
01-08-02,4476
01-09-02,4112
01-10-02,4262
01-11-02,4073
01-12-02,4813
01-01-03,4610
01-02-03,3998
01-03-03,4565
01-04-03,4585
01-05-03,4634
01-06-03,4251
01-07-03,4446
01-08-03,4023
01-09-03,4178
01-10-03,4157
01-11-03,4080
01-12-03,4798
01-01-04,4325
01-02-04,4200
01-03-04,4477
01-04-04,4247
01-05-04,4308
01-06-04,4100
01-07-04,4238
01-08-04,4381
01-09-04,4058
01-10-04,4124
01-11-04,4250
01-12-04,4615
01-01-05,4620
01-02-05,4107
01-03-05,4502
01-04-05,4362
01-05-05,4526
01-06-05,4497
01-07-05,4351
01-08-05,4397
01-09-05,4181
01-10-05,4285
01-11-05,4498
01-12-05,4784
01-01-06,4686
01-02-06,4169
01-03-06,4513
01-04-06,4539
01-05-06,4659
01-06-06,4308
01-07-06,4338
01-08-06,4656
01-09-06,4330
01-10-06,4415
01-11-06,4457
01-12-06,4784
01-01-07,4599
01-02-07,3967
01-03-07,4552
01-04-07,4728
01-05-07,4841
01-06-07,4471
01-07-07,4743
01-08-07,4582
01-09-07,4367
01-10-07,4717
01-11-07,4500
01-12-07,4962
01-01-08,4846
01-02-08,4523
01-03-08,4808
01-04-08,4937
01-05-08,5245
01-06-08,4911
01-07-08,5076
01-08-08,4963
01-09-08,4852
01-10-08,5236
01-11-08,5083
01-12-08,5694
01-01-09,5381
01-02-09,5197
01-03-09,5613
01-04-09,5538
01-05-09,5305
01-06-09,5767
01-07-09,5707
01-08-09,5803
01-09-09,5708
01-10-09,5603
01-11-09,5285
01-12-09,6502
01-01-10,5878
01-02-10,5202
01-03-10,6038
01-04-10,6048
01-05-10,6383
01-06-10,6254
01-07-10,5991
01-08-10,6461
01-09-10,5798
01-10-10,6094
01-11-10,5830
01-12-10,6543
01-01-11,6286
01-02-11,5757
01-03-11,6441
01-04-11,6215
01-05-11,7047
01-06-11,6471
01-07-11,6193
01-08-11,6428
01-09-11,5979
01-10-11,6159
01-11-11,6035
01-12-11,6309
01-01-12,6261
01-02-12,5694
01-03-12,6198
01-04-12,6214
01-05-12,6778
01-06-12,6162
01-07-12,6267
01-08-12,6178
01-09-12,6006
01-10-12,6229
01-11-12,5643
01-12-12,6106
01-01-13,6175
01-02-13,5502
01-03-13,5899
01-04-13,6204
01-05-13,6184
01-06-13,5570
01-07-13,5771
01-08-13,5605
01-09-13,5562
01-10-13,5780
01-11-13,5189
01-12-13,6144
01-01-14,5607
01-02-14,5159
01-03-14,5809
01-04-14,5573
01-05-14,5786
01-06-14,5433
